Frase,Categoria
Si de verdad necesitas saberlo... novecientos cinco.,Respuesta Empleados
Qué fastidio estas preguntas... Son alrededor de cuatro mil trescientos ochenta y siete millones veinticinco mil ciento nueve miles de dólares.,Respuesta Cartera
"Si tuviéramos que definirnos, sería en Actividades Artísticas.",Respuesta Categoria Empresa
Nuestras deudas totales son unos cuarenta y seis mil trescientos sesenta y cinco millones doscientos cuarenta y tres mil cuatrocientos cuarenta y nueve euros.,Respuesta Deudas
"Pues, nos deben unos 1.071.181.170 EUR en total los clientes.",Respuesta Cartera
"Tenemos deudas por 45.879.261.963 USD, alineadas con nuestra estrategia de inversión.",Respuesta Deudas
Con orgullo reportamos seis mil cuatro millones ochocientos cincuenta y cinco mil cuatrocientos sesenta y siete millones de dólares de utilidad anual.,Respuesta Ganancias
Contamos con 901 trabajadores.,Respuesta Empleados
"Sí, la razón social es Desarrollo WV S.L.L..",Respuesta Nombre
"Si sumas lo que nos deben, da unos cerca de trescientos sesenta y siete millones cuatrocientos veintiuno mil seiscientos noventa y tres millones de dólares.",Respuesta Cartera
"Sobre la pregunta de 'valor en cartera', ¿podrías ser más claro?",Pregunta sobre Proceso
"Francamente, eres zángano.",Insulto
Unos alrededor de mil doscientos treinta y cuatro millones setecientos noventa mil quinientos ochenta y seis miles de dólares es lo que asciende la cartera de clientes.,Respuesta Cartera
"Para 'número de empleados', ¿qué tipo de dato esperan: moneda específica?",Pregunta Económica
¡Un año excelente! Las ganancias ascendieron a siete mil cuatrocientos cincuenta y ocho millones novecientos treinta y cinco mil treinta y cuatro euros.,Respuesta Ganancias
Si de verdad necesitas saberlo... 801.,Respuesta Empleados
"Para 'patrimonio neto', ¿qué tipo de dato esperan: número entero?",Pregunta Económica
Estimamos que el pasivo total ronda los 2.859.807.407 COP.,Respuesta Deudas
"Claro, me gusta mucho la razón social, somos Farmaceútica Ribes S.L..",Respuesta Nombre
"No te pongas así, somos Hnos Millán S.L.N.E.",Respuesta Nombre
